DateTime,IncidentNumber,IncidentORI
2022-02-12 16:59:00,2022-00002157,1913 TWINTREE DR
2022-02-12 16:59:00,2022-00002757,1913 TWINTREE DR
2022-02-12 17:01:00,2022-00007932,910 CRESTON WAY
2022-02-12 17:05:00,2022-00007933,2000 W BROOKS ST
2022-02-12 17:05:00,2022-00007934,S FLOOD AVE / W LINDSEY ST
2022-02-12 17:07:00,2022-00007935,1321 MONTEREY DR
2022-02-12 17:10:00,2022-00007936,910 CRESTON WAY
2022-02-12 17:11:00,2022-00007938,3600 N I35 SB I
2022-02-12 17:13:00,2022-00007948,16701 E ROCK CREEK RD
2022-02-12 17:29:00,2022-00002758,901 N PORTER AVE
2022-02-12 17:30:00,2022-00007949,1119 BILOXI DR
2022-02-12 17:36:00,2022-00007942,796 ASP AVE
2022-02-12 17:37:00,2022-00002158,750 E LINDSEY ST
2022-02-12 17:37:00,2022-00002759,750 E LINDSEY ST
2022-02-12 17:37:00,2022-00007937,750 E LINDSEY ST
2022-02-12 17:38:00,2022-00007944,911 DAKOTA ST
2022-02-12 17:40:00,2022-00002160,1413 NEBRASKA ST
2022-02-12 17:40:00,2022-00002763,1413 NEBRASKA ST
2022-02-12 17:40:00,2022-00007939,1413 NEBRASKA ST
2022-02-12 17:42:00,2022-00002159,603 BUMGARNER AVE
2022-02-12 17:42:00,2022-00002760,603 BUMGARNER AVE
2022-02-12 17:43:00,2022-00007940,2000 W BROOKS ST
2022-02-12 17:49:00,2022-00002762,750 E LINDSEY ST
2022-02-12 17:54:00,2022-00002772,3300 HEALTHPLEX PKWY
2022-02-12 17:58:00,2022-00007946,901 N PORTER AVE
2022-02-12 17:59:00,2022-00002766,3300 HEALTHPLEX PKWY
2022-02-12 18:04:00,2022-00002161,800 LEXINGTON ST
2022-02-12 18:04:00,2022-00002764,800 LEXINGTON ST
2022-02-12 18:06:00,2022-00007945,2525 MCGEE DR
2022-02-12 18:09:00,2022-00007961,2506 W BROOKS ST
2022-02-12 18:17:00,2022-00007947,2300 W MAIN ST
2022-02-12 18:19:00,2022-00002162,4828 E LINDSEY ST
2022-02-12 18:19:00,2022-00002765,4828 E LINDSEY ST
2022-02-12 18:27:00,2022-00002767,700 S TELEPHONE RD
2022-02-12 18:28:00,2022-00007950,2900 CHAUTAUQUA AVE
2022-02-12 18:31:00,2022-00007951,1520 E LINDSEY ST
2022-02-12 18:36:00,2022-00007964,2021 GRASSLAND DR
2022-02-12 18:46:00,2022-00007952,1334 REGENT ST
2022-02-12 18:51:00,2022-00007955,1626 DENISON DR
2022-02-12 18:56:00,2022-00002163,E AMERICAN LEGION RD / 156TH AVE 
2022-02-12 18:56:00,2022-00002768,E AMERICAN LEGION RD / 156TH AVE 
2022-02-12 18:56:00,2022-00007956,E AMERICAN LEGION RD / 156TH AVE 
2022-02-12 19:02:00,2022-00007957,3300 HEALTHPLEX PKWY
2022-02-12 19:06:00,2022-00007958,320 12TH AVE NE
2022-02-12 19:07:00,2022-00007959,550 24TH AVE NW
2022-02-12 19:22:00,2022-00002164,926 MOCKINGBIRD LN
2022-02-12 19:26:00,2022-00002769,3300 HEALTHPLEX PKWY
2022-02-12 19:34:00,2022-00002165,2204 NASHVILLE DR
2022-02-12 19:34:00,2022-00002770,2204 NASHVILLE DR
2022-02-12 19:43:00,2022-00007965,760 NEBRASKA ST
2022-02-12 19:52:00,2022-00007966,3745 THUNDERBIRD ST
2022-02-12 19:59:00,2022-00002771,901 N PORTER AVE
2022-02-12 20:11:00,2022-00007967,601 12TH AVE NE
2022-02-12 20:13:00,2022-00007970,4305 MONTICELLO RD
2022-02-12 20:19:00,2022-00007968,325 E COMANCHE ST
2022-02-12 20:20:00,2022-00002166,1709 OAKCREST AVE
2022-02-12 20:20:00,2022-00002773,1709 OAKCREST AVE
2022-02-12 20:23:00,2022-00007972,1610 CHARLES ST
2022-02-12 20:31:00,2022-00007969,201 W GRAY ST
2022-02-12 20:33:00,2022-00007971,1918 W MAIN ST
2022-02-12 21:05:00,2022-00007973,ASP AVE / WHITE ST
2022-02-12 21:09:00,2022-00007974,2600 W MAIN ST
2022-02-12 21:16:00,2022-00007978,1301 12TH AVE SE
2022-02-12 21:19:00,2022-00002167,4000 N I35 NB I
2022-02-12 21:19:00,2022-00002774,4000 N I35 NB I
2022-02-12 21:19:00,2022-00007975,4000 N I35 NB I
2022-02-12 21:25:00,2022-00007976,JENKINS AVE / E BOYD ST
2022-02-12 21:33:00,2022-00002168,2070 24TH AVE NW
2022-02-12 21:34:00,2022-00007977,269 W SYMMES ST
2022-02-12 21:53:00,2022-00007979,735 S JENKINS AVE
2022-02-12 21:54:00,2022-00002169,ASP AVE / FELGAR ST
2022-02-12 21:54:00,2022-00002775,ASP AVE / FELGAR ST
2022-02-12 22:00:00,2022-00007980,TRIAD VILLAGE DR / 12TH AVE SE
2022-02-12 22:05:00,2022-00007981,ASP AVE / W BOYD ST
2022-02-12 22:35:00,2022-00007982,3730 ADDISON AVE
2022-02-12 22:42:00,2022-00007983,2400 36TH AVE NW
2022-02-12 22:45:00,2022-00002170,1330 12TH AVE SE
2022-02-12 22:45:00,2022-00002776,1330 12TH AVE SE
2022-02-12 22:45:00,2022-00007984,1330 12TH AVE SE
2022-02-12 22:51:00,2022-00007985,1704 W ROBINSON ST
2022-02-12 22:57:00,2022-00002777,901 N PORTER AVE
2022-02-12 22:58:00,2022-00002171,201 WOODCREST DR
2022-02-12 22:58:00,2022-00002778,201 WOODCREST DR
2022-02-12 22:58:00,2022-00007986,201 WOODCREST DR
2022-02-12 23:00:00,2022-00007993,1800 BEAUMONT DR
2022-02-12 23:01:00,2022-00007987,1008 W ROBINSON ST
2022-02-12 23:17:00,2022-00008008,1111 OAK TREE AVE
2022-02-12 23:27:00,2022-00002172,1250 24TH AVE NW
2022-02-12 23:27:00,2022-00002779,1250 24TH AVE NW
2022-02-12 23:35:00,2022-00008011,1713 JENNIFER CIR
2022-02-12 23:40:00,2022-00002173,2501 PENDLETON DR
2022-02-12 23:40:00,2022-00002780,2501 PENDLETON DR
2022-02-12 23:41:00,2022-00002174,3201 13TH PL
2022-02-12 23:41:00,2022-00002781,3201 13TH PL
2022-02-14 00:01:00,2022-00002226,216 BOULEVARD DU LAC
2022-02-14 00:12:00,2022-00002839,901 N PORTER AVE
2022-02-14 00:15:00,2022-00002227,1203 REBECCA LN
2022-02-14 00:15:00,2022-00002840,1203 REBECCA LN
2022-02-14 00:26:00,2022-00008144,2891 DEWEY AVE
2022-02-14 00:27:00,2022-00008143,W MAIN ST / LAMP POST RD
2022-02-14 00:37:00,2022-00008145,24TH AVE SW / W LINDSEY ST
2022-02-14 00:46:00,2022-00008146,2617 BELKNAP AVE
2022-02-14 00:47:00,2022-00008147,201 CHALMETTE DR
2022-02-14 00:58:00,2022-00008148,48TH AVE NW / HERITAGE PLACE DR
2022-02-14 01:20:00,2022-00002228,3300 HEALTHPLEX PKWY
2022-02-14 01:20:00,2022-00002841,3300 HEALTHPLEX PKWY
2022-02-14 01:21:00,2022-00002229,2730 CHAUTAUQUA AVE
2022-02-14 01:21:00,2022-00002842,2730 CHAUTAUQUA AVE
2022-02-14 01:24:00,2022-00008149,E BOYD ST / MONNETT AVE
2022-02-14 01:30:00,2022-00008150,4701 HERITAGE PLACE DR
2022-02-14 01:35:00,2022-00002230,3515 BOB BUSCH DR
2022-02-14 01:35:00,2022-00002843,3515 BOB BUSCH DR
2022-02-14 01:36:00,2022-00008151,505 E BOYD ST
2022-02-14 01:39:00,2022-00002231,425 SUMMIT BEND
2022-02-14 01:39:00,2022-00002844,425 SUMMIT BEND
2022-02-14 01:43:00,2022-00008152,2300 W MAIN ST
2022-02-14 02:01:00,2022-00008153,901 N PORTER AVE
2022-02-14 02:06:00,2022-00002845,EMSSTAT
2022-02-14 02:06:00,2022-00002232,1551 ANN BRANDEN BLVD
2022-02-14 02:21:00,2022-00008154,3571 W ROCK CREEK RD
2022-02-14 02:24:00,2022-00008155,1111 WYLIE RD
2022-02-14 02:27:00,2022-00002233,48TH AVE NW / W INDIAN HILLS RD
2022-02-14 02:27:00,2022-00002846,48TH AVE NW / W INDIAN HILLS RD
2022-02-14 02:27:00,2022-00002848,48TH AVE NW / W INDIAN HILLS RD
2022-02-14 02:27:00,2022-00008156,48TH AVE NW / W INDIAN HILLS RD
2022-02-14 02:35:00,2022-00008157,3305 FIRESIDE CIR
2022-02-14 02:44:00,2022-00002234,2100 36TH AVE NW
2022-02-14 02:44:00,2022-00002847,2100 36TH AVE NW
2022-02-14 02:52:00,2022-00008158,1750 S I35 SB I
2022-02-14 02:54:00,2022-00002235,4311 E ROBINSON ST
2022-02-14 03:20:00,2022-00002849,3300 HEALTHPLEX PKWY
2022-02-14 04:30:00,2022-00008159,1718 JENNIFER CIR
2022-02-14 05:04:00,2022-00002850,1776 E ROBINSON ST
2022-02-14 05:17:00,2022-00002236,3110 HEALTHPLEX DR
2022-02-14 05:17:00,2022-00002851,3110 HEALTHPLEX DR
2022-02-14 05:22:00,2022-00008160,1122 24TH AVE SW
2022-02-14 05:25:00,2022-00002852,901 N PORTER AVE
2022-02-14 05:45:00,2022-00008161,3700 EAGLE CLIFF DR
2022-02-14 05:58:00,2022-00008162,1311 DA VINCI ST
2022-02-14 06:11:00,2022-00008163,1925 ELMHURST DR
2022-02-14 06:28:00,2022-00002237,405 VICKSBURG CT
2022-02-14 06:28:00,2022-00002853,405 VICKSBURG CT
2022-02-14 06:30:00,2022-00002238,1616 ALAMEDA ST
2022-02-14 06:30:00,2022-00002854,1616 ALAMEDA ST
2022-02-14 06:38:00,2022-00008176,9602 E BETHEL RD
2022-02-14 06:38:00,2022-00008164,1100 W LINDSEY ST
2022-02-14 06:46:00,2022-00002239,325 E COMANCHE ST
2022-02-14 06:46:00,2022-00002855,325 E COMANCHE ST
2022-02-14 07:01:00,2022-00008165,500 JAMES DR
2022-02-14 07:14:00,2022-00002856,EMSSTAT
2022-02-14 07:14:00,2022-00002240,4101 101ST AVE NE
2022-02-14 07:14:00,2022-00008166,4101 101ST AVE NE
2022-02-14 07:24:00,2022-00008167,GEORGE AVE / E LINDSEY ST
2022-02-14 07:32:00,2022-00008170,3301 12TH AVE SE
2022-02-14 07:32:00,2022-00002241,1815 PETER PAN ST
2022-02-14 07:32:00,2022-00002857,1815 PETER PAN ST
2022-02-14 07:33:00,2022-00008169,3745 THUNDERBIRD ST
2022-02-14 07:34:00,2022-00008168,4250 W TECUMSEH RD
2022-02-14 07:36:00,2022-00008178,36TH AVE NE / E FRANKLIN RD
2022-02-14 07:36:00,2022-00008171,N FLOOD AVE / DA VINCI ST
2022-02-14 07:38:00,2022-00002242,3100 WOODSBORO CT
2022-02-14 07:38:00,2022-00002858,3100 WOODSBORO CT
2022-02-14 07:40:00,2022-00008172,GEORGE AVE / FARMER ST
2022-02-14 07:45:00,2022-00008173,1111 OAK TREE AVE
2022-02-14 07:57:00,2022-00008174,2100 E ROBINSON ST
2022-02-14 07:58:00,2022-00008175,825 MARSHALL AVE
2022-02-14 08:09:00,2022-00008177,2383 E STATE HWY 9 HWY
2022-02-14 08:11:00,2022-00002243,237 N CREEKDALE DR
2022-02-14 08:11:00,2022-00002859,237 N CREEKDALE DR
2022-02-14 08:15:00,2022-00008182,909 24TH AVE SW
2022-02-14 08:20:00,2022-00008180,2921 SUMMIT HILL RD
2022-02-14 08:22:00,2022-00008187,1050 RAMBLING OAKS DR
2022-02-14 08:25:00,2022-00008181,400 S SANTA FE AVE
2022-02-14 08:28:00,2022-00008188,4409 132ND AVE SE
2022-02-14 08:30:00,2022-00008183,1925 ELMHURST DR
2022-02-14 08:35:00,2022-00002862,EMSSTAT
2022-02-14 08:38:00,2022-00008186,1400 SKYLER WAY
2022-02-14 08:39:00,2022-00008184,1709 BRANDON CIR
2022-02-14 08:42:00,2022-00002244,2409 WILCOX DR
2022-02-14 08:42:00,2022-00002860,2409 WILCOX DR
2022-02-14 08:43:00,2022-00008185,510 24TH AVE SW
2022-02-14 08:50:00,2022-00002867,EMSSTAT
2022-02-14 08:57:00,2022-00008192,325 E COMANCHE ST
2022-02-14 09:03:00,2022-00008197,3701 HIDDEN HILL RD
2022-02-14 09:09:00,2022-00002245,1600 BAYCHARTER ST
2022-02-14 09:09:00,2022-00002861,1600 BAYCHARTER ST
2022-02-14 09:10:00,2022-00008189,1625 ROLLING STONE DR
2022-02-14 09:12:00,2022-00008190,S FINDLAY AVE / E MAIN ST
2022-02-14 09:16:00,2022-00008191,621 SUNRISE ST
2022-02-14 09:16:00,2022-00002246,1223 IOWA ST
2022-02-14 09:16:00,2022-00002863,1223 IOWA ST
2022-02-14 09:21:00,2022-00008201,1221 W LINDSEY DR
2022-02-14 09:24:00,2022-00002247,3820 COBBLE CIR
2022-02-14 09:26:00,2022-00008193,TROUT AVE / PAGE ST
2022-02-14 09:31:00,2022-00008194,2000 W BROOKS ST
2022-02-14 09:32:00,2022-00008195,2300 BUD WILKINSON DR
2022-02-14 09:34:00,2022-00002248,4008 QUAIL DR
2022-02-14 09:35:00,2022-00008196,2556 S CLASSEN BLVD
2022-02-14 09:37:00,2022-00008198,1945 FILLMORE AVE
2022-02-14 09:41:00,2022-00002249,1300 CREEKSIDE DR
2022-02-14 09:41:00,2022-00002864,1300 CREEKSIDE DR
2022-02-14 09:41:00,2022-00008199,1300 CREEKSIDE DR
2022-02-14 09:42:00,2022-00002865,EMSSTAT
2022-02-14 09:42:00,2022-00002250,6701 72ND AVE NE
2022-02-14 09:46:00,2022-00008200,1220 24TH AVE SE
2022-02-14 09:47:00,2022-00008220,ALADDIN ST / HOLLYWOOD AVE
2022-02-14 10:07:00,2022-00002866,700 S TELEPHONE RD
2022-02-14 10:09:00,2022-00008205,4333 WILLOWISP DR
2022-02-14 10:14:00,2022-00008228,626 CEDARBROOK DR
2022-02-14 10:15:00,2022-00008202,325 E COMANCHE ST
2022-02-14 10:21:00,2022-00008207,1155 BILOXI DR
2022-02-14 10:24:00,2022-00008203,1694 COLLEGE AVE
2022-02-14 10:26:00,2022-00008204,509 TERRACE PL
2022-02-14 10:35:00,2022-00008206,10400 141ST AVE NE
2022-02-14 10:40:00,2022-00008208,829 TUFTS LN
2022-02-14 10:51:00,2022-00008214,N PETERS AVE / E ROBINSON ST
2022-02-14 11:03:00,2022-00008209,721 E MAIN ST
2022-02-14 11:08:00,2022-00002251,100 26TH AVE SW
2022-02-14 11:08:00,2022-00002868,100 26TH AVE SW
2022-02-14 11:09:00,2022-00008213,1251 TRIAD VILLAGE DR
2022-02-14 11:13:00,2022-00002869,EMSSTAT
2022-02-14 11:13:00,2022-00002252,104 BEAL ST
2022-02-14 11:14:00,2022-00008210,ELM AVE / W LINDSEY ST
2022-02-14 11:15:00,2022-00002253,2818 CLASSEN BLVD
2022-02-14 11:15:00,2022-00002870,2818 CLASSEN BLVD
2022-02-14 11:24:00,2022-00008211,563 BUCHANAN AVE
2022-02-14 11:29:00,2022-00008224,1608 FARMINGTON AVE
2022-02-14 11:41:00,2022-00008212,1809 N STUBBEMAN AVE
2022-02-14 11:46:00,2022-00008221,1109 MELISA DR
2022-02-14 11:47:00,2022-00008216,MOUNT WILLIAMS DR / 24TH AVE NW
2022-02-14 11:47:00,2022-00008215,5500 48TH AVE NW
2022-02-14 11:51:00,2022-00008229,810 IOWA ST
2022-02-14 11:53:00,2022-00008222,24TH AVE NW / W ROBINSON ST
2022-02-14 11:56:00,2022-00008218,215 W BOYD ST
2022-02-14 11:56:00,2022-00002871,900 25TH CT
2022-02-14 11:57:00,2022-00002254,MCGEE DR / W STATE HWY 9 HWY
2022-02-14 11:57:00,2022-00002872,500 N NORMAN AV
2022-02-14 11:58:00,2022-00008217,209 E MAIN ST
2022-02-14 12:05:00,2022-00008232,501 GOLDEN OAKS DR
2022-02-14 12:08:00,2022-00008226,1818 SADDLEBACK BLVD
2022-02-14 12:11:00,2022-00008219,2740 CLASSEN BLVD
2022-02-14 12:13:00,2022-00002255,825 E ROBINSON ST
2022-02-14 12:13:00,2022-00002873,825 E ROBINSON ST
2022-02-14 12:14:00,2022-00002900,901 N PORTER AVE
2022-02-14 12:16:00,2022-00002906,901 N PORTER AVE
2022-02-14 12:18:00,2022-00008223,809 N FINDLAY AVE
2022-02-14 12:19:00,2022-00008225,116 W DAWS ST
2022-02-14 12:21:00,2022-00008235,10401 E TECUMSEH RD
2022-02-14 12:24:00,2022-00002256,7070 W ROCK CREEK RD
2022-02-14 12:24:00,2022-00002874,7070 W ROCK CREEK RD
2022-02-14 12:26:00,2022-00008231,ALLENHURST ST / AMHURST AVE
2022-02-14 12:29:00,2022-00008227,819 N BERRY RD
2022-02-14 12:33:00,2022-00008230,125 VICKSBURG AVE
2022-02-14 12:42:00,2022-00008233,S BERRY RD / W STATE HWY 9 HWY
2022-02-14 12:47:00,2022-00008234,36TH AVE NE / E FRANKLIN RD
2022-02-14 12:48:00,2022-00008236,121 E MAIN ST
2022-02-14 12:58:00,2022-00002880,901 N PORTER AVE
2022-02-14 12:59:00,2022-00008237,2232 LOUISE LN
2022-02-14 13:03:00,2022-00008238,713 DENISON DR
2022-02-14 13:06:00,2022-00002875,EMSSTAT
2022-02-14 13:06:00,2022-00002257,24TH AVE SE / TAHOE DR
2022-02-14 13:06:00,2022-00008239,24TH AVE SE / TAHOE DR
2022-02-14 13:11:00,2022-00002258,3908 SPARKLE ST
2022-02-14 13:11:00,2022-00002876,3908 SPARKLE ST
2022-02-14 13:12:00,2022-00002259,1128 W BROOKS ST
2022-02-14 13:17:00,2022-00002260,420 W FRANKLIN RD
2022-02-14 13:17:00,2022-00002877,420 W FRANKLIN RD
2022-02-14 13:19:00,2022-00008240,1800 SADDLEBACK BLVD
2022-02-14 13:22:00,2022-00008241,1616 ALAMEDA ST
2022-02-14 13:26:00,2022-00008249,201 REED AVE
2022-02-14 13:28:00,2022-00008245,500 E ROBINSON ST
2022-02-14 13:28:00,2022-00008242,2543 W MAIN ST
2022-02-14 13:31:00,2022-00008243,1025 W SYMMES ST
2022-02-14 13:37:00,2022-00008244,BRANDON CIR / SHILOH DR
2022-02-14 13:40:00,2022-00002261,620 ED NOBLE PKWY
2022-02-14 13:40:00,2022-00008247,E MAIN ST / 12TH AVE NE
2022-02-14 13:42:00,2022-00008246,417 SHRILL ST
2022-02-14 13:42:00,2022-00000041,3951 192ND AVE SE
2022-02-14 13:42:00,2022-00002262,3951 192ND AVE SE
2022-02-14 13:42:00,2022-00002878,3951 192ND AVE SE
2022-02-14 13:49:00,2022-00002263,909 BARN OWL ST
2022-02-14 13:50:00,2022-00008248,699 12TH AVE NE
2022-02-14 13:50:00,2022-00008250,530 E COMANCHE ST
2022-02-14 13:55:00,2022-00008251,1411 DENISON DR
2022-02-14 13:57:00,2022-00008252,12TH AVE SE / CLASSEN BLVD
2022-02-14 13:59:00,2022-00002264,308 84TH AVE SE
2022-02-14 13:59:00,2022-00008253,ALAMEDA ST / S PORTER AVE
2022-02-14 14:01:00,2022-00008254,W TECUMSEH RD / I35 NB OFF RAMP 
2022-02-14 14:03:00,2022-00008257,W MAIN ST / 24TH AVE NW
2022-02-14 14:06:00,2022-00002265,1913 GUILFORD CT
2022-02-14 14:06:00,2022-00002879,1913 GUILFORD CT
2022-02-14 14:06:00,2022-00008255,3019 TARA LN
2022-02-14 14:08:00,2022-00008259,1406 24TH AVE SE
2022-02-14 14:11:00,2022-00008256,2132 W MAIN ST
2022-02-14 14:15:00,2022-00008273,201 W GRAY ST
2022-02-14 14:22:00,2022-00008260,1221 ED NOBLE PKWY
2022-02-14 14:25:00,2022-00008258,48TH AVE NW / W MAIN ST
2022-02-14 14:27:00,2022-00008265,3100 HIGHLAND RIDGE DR
2022-02-14 14:35:00,2022-00008266,CASTLEWOOD DR / W IMHOFF RD
2022-02-14 14:36:00,2022-00008267,CRESTLAND DR / VANESSA DR
2022-02-14 14:38:00,2022-00008261,2556 CLASSEN BLVD
2022-02-14 14:44:00,2022-00008264,9700 E BOYD ST
2022-02-14 14:45:00,2022-00002898,901 N PORTER AVE
2022-02-14 14:49:00,2022-00008263,156TH AVE NE / AMERICAN LEGION RD
2022-02-14 14:55:00,2022-00008269,1337 W LINDSEY ST
2022-02-14 15:03:00,2022-00008268,213 E MAIN ST
2022-02-14 15:07:00,2022-00008270,2816 WEYMOUTH CT
2022-02-14 15:10:00,2022-00008272,1331 GLEN OAKS CT
2022-02-14 15:11:00,2022-00008276,2556 S CLASSEN BLVD
2022-02-14 15:12:00,2022-00008271,3651 CLASSEN BLVD
2022-02-14 15:17:00,2022-00008275,1251 ALAMEDA ST
2022-02-14 15:27:00,2022-00008277,3301 W MAIN ST
2022-02-14 15:31:00,2022-00008274,35.2048483333333;-97.4645866666667
2022-02-14 15:32:00,2022-00008286,1213 DUSTIN DR
2022-02-14 15:33:00,2022-00008278,3651 W ROBINSON ST
2022-02-14 15:44:00,2022-00008279,200 VICKSBURG AVE
2022-02-14 15:46:00,2022-00008282,3651 W ROBINSON ST
2022-02-14 15:47:00,2022-00008287,3601 N FLOOD AVE
2022-02-14 15:48:00,2022-00002881,EMSSTAT
2022-02-14 15:54:00,2022-00008280,1816 TWISTED OAK DR
2022-02-14 15:54:00,2022-00008281,24TH AVE SE / BEAUMONT DR
2022-02-14 15:55:00,2022-00002882,EMSSTAT
2022-02-14 15:55:00,2022-00002266,950 N PORTER AVE
2022-02-14 15:59:00,2022-00008284,7000 GOERTZEN DR
2022-02-14 15:59:00,2022-00002267,125 W ACRES ST
2022-02-14 15:59:00,2022-00002883,125 W ACRES ST
2022-02-14 16:00:00,2022-00008288,900 HALRAY DR
2022-02-14 16:00:00,2022-00008283,1300 168TH AVE NE
2022-02-14 16:09:00,2022-00008285,405 GREENS PKWY
2022-02-14 16:14:00,2022-00002887,EMSSTAT
2022-02-14 16:15:00,2022-00002268,4311 E ROBINSON ST
2022-02-14 16:15:00,2022-00002884,4311 E ROBINSON ST
2022-02-14 16:22:00,2022-00002269,3181 W INDIAN HILLS RD
2022-02-14 16:22:00,2022-00002885,3181 W INDIAN HILLS RD
2022-02-14 16:22:00,2022-00008289,3181 W INDIAN HILLS RD
2022-02-14 16:31:00,2022-00008297,1200 N INTERSTATE DR
2022-02-14 16:33:00,2022-00008290,201 TRIAD VILLAGE DR
2022-02-14 16:37:00,2022-00008291,2206 ROGERS CIR
2022-02-14 16:40:00,2022-00002270,3316 VALLEY HOLLOW
2022-02-14 16:40:00,2022-00002886,3316 VALLEY HOLLOW
2022-02-14 16:40:00,2022-00008292,2750 168TH AVE NE
2022-02-14 16:40:00,2022-00008298,1119 ARKANSAS ST
2022-02-14 16:43:00,2022-00008295,WATERLEAF DR / DAYFLOWER LN
2022-02-14 16:44:00,2022-00008293,128 TECUMSEH MEADOWS DR
2022-02-14 16:48:00,2022-00008296,4201 24TH AVE NW
2022-02-14 16:51:00,2022-00008294,3108 HARWICH CT
2022-02-14 16:54:00,2022-00002894,EMSSTAT
2022-02-14 16:56:00,2022-00002271,301 E DALE ST
2022-02-14 16:56:00,2022-00002888,301 E DALE ST
2022-02-14 17:01:00,2022-00002272,3612 PEREGRINE DR
2022-02-14 17:01:00,2022-00002889,3612 PEREGRINE DR
2022-02-14 17:09:00,2022-00008299,2417 W MAIN ST
2022-02-14 17:13:00,2022-00008300,1912 FILLMORE AVE
2022-02-14 17:15:00,2022-00002895,901 N PORTER AVE
2022-02-14 17:17:00,2022-00002897,3300 HEALTHPLEX PKWY
2022-02-14 17:18:00,2022-00008301,3605 BARWICK DR
2022-02-14 17:21:00,2022-00002273,501 E ROBINSON ST
2022-02-14 17:21:00,2022-00002890,501 E ROBINSON ST
2022-02-14 17:22:00,2022-00008302,1809 N STUBBEMAN AVE
2022-02-14 17:23:00,2022-00008303,2414 W BROOKS ST
2022-02-14 17:26:00,2022-00008304,2900 OAK TREE AVE
2022-02-14 17:26:00,2022-00002274,ASTOR DR / VICTORIA DR
2022-02-14 17:33:00,2022-00002891,EMSSTAT
2022-02-14 17:33:00,2022-00002275,2152 W BROOKS ST
2022-02-14 17:35:00,2022-00008305,359 N JAMES GARNER AVE
2022-02-14 17:36:00,2022-00008306,1504 E LINDSEY ST
2022-02-14 17:38:00,2022-00002892,EMSSTAT
2022-02-14 17:38:00,2022-00002276,1111 24TH AVE SW
2022-02-14 17:42:00,2022-00008307,626 DAKOTA ST
2022-02-14 17:43:00,2022-00008309,4700 RIDGEWAY PL
2022-02-14 17:43:00,2022-00008308,1337 E LINDSEY ST
2022-02-14 17:52:00,2022-00002277,2818 CLASSEN BLVD
2022-02-14 17:52:00,2022-00002893,2818 CLASSEN BLVD
2022-02-14 17:53:00,2022-00008310,204 SANDSTONE DR
2022-02-14 17:58:00,2022-00008311,805 E ROBINSON ST
2022-02-14 18:02:00,2022-00008313,3301 SILVERADO WAY
2022-02-14 18:02:00,2022-00008312,103 W ACRES ST
2022-02-14 18:10:00,2022-00008314,CHAUTAUQUA AVE / W STATE HWY 9 
2022-02-14 18:14:00,2022-00008316,325 E COMANCHE ST
2022-02-14 18:17:00,2022-00008315,121 W HIMES ST
2022-02-14 18:19:00,2022-00008317,S PICKARD AVE / W TIMBERDELL RD
2022-02-14 18:20:00,2022-00008318,421 KENSINGTON RD
2022-02-14 18:21:00,2022-00008319,1013 MONTGOMERY CIR
2022-02-14 18:34:00,2022-00008320,2597 S PICKARD AVE
2022-02-14 18:37:00,2022-00008321,301 S CRAWFORD AVE
2022-02-14 18:38:00,2022-00002896,EMSSTAT
2022-02-14 18:38:00,2022-00002278,114 MONROE CT
2022-02-14 18:42:00,2022-00008322,3205 W ROBINSON ST
2022-02-14 18:42:00,2022-00008323,805 E ROBINSON ST
2022-02-14 18:45:00,2022-00008324,S PICKARD AVE / LAKEWOOD DR
2022-02-14 18:47:00,2022-00008325,4430 BERRY FARM RD
2022-02-14 18:55:00,2022-00008326,2600 S PICKARD AVE
2022-02-14 19:03:00,2022-00002279,18450 SH 9
2022-02-14 19:03:00,2022-00002899,18450 SH 9
2022-02-14 19:04:00,2022-00008327,2609 FAIRFIELD DR
2022-02-14 19:06:00,2022-00008328,1321 AMHURST AVE
2022-02-14 19:09:00,2022-00008329,536 24TH AVE SW
2022-02-14 19:10:00,2022-00008330,2000 168TH AVE NE
2022-02-14 19:15:00,2022-00002280,100 26TH DR SW
2022-02-14 19:15:00,2022-00002901,100 26TH DR SW
2022-02-14 19:20:00,2022-00008332,2597 S PICKARD AVE
2022-02-14 19:20:00,2022-00008333,DAKOTA ST / BARBOUR AVE
2022-02-14 19:24:00,2022-00008334,48TH AVE NW / W ROBINSON ST
2022-02-14 19:24:00,2022-00002905,EMSSTAT
2022-02-14 19:38:00,2022-00008338,710 MOSSY RD
2022-02-14 19:39:00,2022-00002281,1066 CARLISLE CIR
2022-02-14 19:39:00,2022-00002902,1066 CARLISLE CIR
2022-02-14 19:39:00,2022-00008335,1066 CARLISLE CIR
2022-02-14 19:39:00,2022-00008336,4004 DRAWBRIDGE LN
2022-02-14 19:43:00,2022-00008337,2925 SUMMIT HILL RD
2022-02-14 19:49:00,2022-00002282,2818 CLASSEN BLVD
2022-02-14 19:49:00,2022-00002903,2818 CLASSEN BLVD
2022-02-14 19:49:00,2022-00008341,2818 CLASSEN BLVD
2022-02-14 19:59:00,2022-00002904,700 S TELEPHONE RD
2022-02-14 20:13:00,2022-00008339,2657 CLASSEN BLVD
2022-02-14 20:17:00,2022-00008340,819 N BERRY RD
2022-02-14 20:20:00,2022-00002283,309 NORTH BASE AVE
2022-02-14 20:23:00,2022-00002284,2901 TROPICANA AVE
2022-02-14 20:29:00,2022-00008343,I35 SB ON RAMP 109 WEST SPUR 
2022-02-14 20:30:00,2022-00002285,1695 ASP AVE
